# DEC<TAB>Tag
# Source: RadioReference MPSCS system (https://www.radioreference.com/db/sid/100), downloaded 2026-07-01.
# RadioReference page June 29, 2026, 03:13 am UTC.
# Parsed 7662 RadioReference talkgroups; preserved 7 local-only entries.
# Labels are Alpha Tag + Description; RR encrypted/partially encrypted modes append ENC/PART-ENC.
# Local-only TGIDs preserved: 2847, 32319, 32356, 32442, 32465, 32505, 32530.

128	33ICJ2 Ingham Jail 2 ENC
129	33COURT Ingham Courts ENC
130	33TRANS IC Sheriff Jail Transports ENC
131	33ICSODB IC Sheriff Detectives ENC
132	33LANORTH Lansing Police Main North
133	33LANOPS Lansing Police Operations North ENC
134	33LASOUTH Lansing Police Main South
135	33LASOPS Lansing Police Operations South ENC
136	33LAJAIL Lansing Police Jail ENC
137	33START1 Lansing Police START channel 1 ENC
138	33START2 Lansing Police START channel 2 ENC
139	33ELMSU East Lansing Police/MSU Police Main
140	33ELTAC East Lansing Area Tactical
141	33SRT1 Special Response Team 1 ENC
142	33SRT2 Special Response Team 2 ENC
143	33MSUEHS MSU Environmental Health and Sciences HAZMAT
144	33MSUDB Police Detective Bureau at MSU ENC
145	33MSUCOM MSU Common interop
146	33MSUSPEV Special Event at MSU
147	33LCCPD Lansing Community College Police Main
148	33LCCTAC Lansing Community College Police car/car ENC
149	19CRAAOPS Capital Region Airport Authority Main
150	19CRAATAC Capital Region Airport Authority car/car
151	19CRAAADM Capital Region Airport Authority Administrative
152	33ACMAIN Ingham County Animal Control Main
153	33ACTAC Ingham County Animal Control Car-to-Car
154	33ICFOC Ingham County Friend of the Court ENC
155	33PPZOO Potter Park Zoo
156	33LTPTAC Lansing Twp Police Car-to-Car
157	33MTTAC Meridian Twp Police Car-to-Car
158	33MAPTAC Mason Police Car-to-Car
159	33LSPTAC Leslie Police Car-to-Car
160	33STPTAC Stockbridge Police Car-to-Car
161	33WLPTAC Williamston Police Car-to-Car
162	33ELPTAC East Lansing Police Car-To-Car
163	33MSUTAC Police Car-to-Car with MSU Police ENC
164	33SPEV3 Special Events 3
165	33SPEV4 Special Events 4
166	33SPEV5 Special Events 5
167	33SPEV6 Special Events 6
168	33SPEV7 Special Events 7
169	33SPEV8 Special Events 8
170	33SPEV9 Special Events 9 ENC
171	33SPEV10 Special Events 10 ENC
172	33DPS1 Department of Public Safety Main
173	33EASTRN Eastern
174	33EVERET Everett
175	33SEXTON Sexton
176	33WOODCR Wood Creek
177	33GARDNR Gardner
178	33PATTEN Pattengil
179	33DWRICH Dwight Rich
180	33DEAN Dean Transport
181	33DPSALL DPS All
182	33DWEMER District Wide Emergency
183	33TLO Team Lead Officer
184	33PRNCPL Principals
185	33NELEM North Elementary
186	33PLVIEW Pleasant View
187	33INGFIRE Ingham County Fire Main
188	33METFIRE Metro Fire Main LFD and ELFD
189	33FG1 Fireground 1
190	33FG2 Fireground 2
191	33FG3 Fireground 3
192	33FG4 Fireground 4
193	33LTFADM Lansing Twp Fire Admin
194	33FG5 Fireground 5
195	33FG6 Fireground 6
196	33FG7 Fireground 7
197	33FG8 Fireground 8
198	33ELFADM East Lansing Fire Admin
199	33MTFADM Meridian Twp Fire Admin
201	33DLFADM Delhi Fire Admin
202	33MAFADM Mason Fire Admin
203	33DNFADM Dansville Fire Admin
204	33LSFADM Leslie Fire Admin
205	33ONFADM Onondaga Twp. Fire Admin
206	33NIEADM NIESA Admin
207	33STFADM Stockbridge Fire Admin
208	PTRICODB Tri-County Detectives Operations ENC
209	33TRNG1 IC Dispatch Training 1
210	33TRNG2 IC Dispatch Training 2
211	33TRNG3 IC Dispatch Training 3
212	33911ADM County 911 Admin ENC
213	33TEST1 IC Radio Testing 1
214	33TEST2 IC Radio Testing 2
215	33TEST3 IC Radio Testing 3
216	33BWL800 Patch to BWL
217	33PGTRNG IC Pager Training
218	33MMRADM MMR Ambulance Admin
219	33TANKER Countywide Tanker Task Force
220	33ELMOPS East Lansing Police / MSU Police Tac ENC
221	33ELDB East Lansing Detectives Bureau
222	33LANPEV1 Lansing Police Event 1
223	33MTDB Meridian Township Detectives Bureau ENC
224	33SPTAC MSP Post 11 Car-To-Car
225	35PGPLFL Plainfield Twp First Responders Page
226	23POTDPW Potterville City Services
227	33PG911 County Wide All Call
228	33PGDNFD Dansville Fire-All Call
229	33PGDLFD Delhi Fire All Call
230	33PGDLFE Delhi Fire-EMS
231	33PGLTF51 Lansing Twp Fire-Station 51
232	33PGLTF52 Lansing Twp Fire-Station 52
233	33PGLTFC Lansing Twp Fire-Chief
234	33PGMFD Mason Fire-All Call
235	33PGNIE1 NIESA-Station 61
236	33PGNIE2 NIESA-Station 62
237	33NIAPAGE NIESA Ambulance Pager
238	33MMREPAGE MMR Ambulance Page
239	33PGLFD Leslie Fire-All Call
240	33PGOFD Onondaga Fire-All Call
241	33PGSAEF SAESA Fire
242	33SAESAPG SAESA Ambulance pager
247	C.I.D. 247 ENC
253	HSTAC1 Bioterrorism 1
254	HSTAC2 Bioterrorism 2
255	CEMERCHANT Merchant Plants Operation
256	HSTAC4 Bioterrorism 4
257	HSTAC5 Bioterrorism 5
258	HSTAC6 Bioterrorism 6
259	HSTAC7 Bioterrorism 7
260	HSTAC8 Bioterrorism 8
261	33EVENT1 County Event 1
262	33MCLMNT Mclaren Hospital Maintenance
264	33MCLLAN McLaren Hospital Lansing Ops
266	33STA11 East Lansing Station 11 Page
267	33STA12 East Lansing Station 12 Page
268	33STA21 Delhi Twp Station 21 Page
269	33STA41 Lansing Fire Station 1 Page
270	33STA42 Lansing Fire Station 2 Page
271	33STA44 Lansing Fire Station 4 Page
272	33STA46 Lansing Fire Station 6 Page
273	33STA48 Lansing Fire Station 8 Page
274	33STA49 Lansing Fire Station 9 Page
275	33STA51 Lansing Twp Station 51 Page
276	33STA52 Lansing Twp Station 52 Page
277	33STA61 NIESA Station 61 Page
278	33STA62 NIESA Station 62 Page
279	33STA91 Meridian Twp Station 91 Page
280	33STA92 Meridian Twp Station 92 Page
281	33STA93 Meridian Twp Station 93 Page
282	33STASAE SAESA Fire Station Page
283	OPS283 Oakland/Macomb
285	OPS285 Oakland/Macomb
288	METRODETAC Metro Detroit Zone: All Call
291	OPS291 Oakland/Macomb
294	SPARROW PED Tri-County Medical 7: EMS to Sparrow Pediatrics
295	TRIMED8 Tri-County Medical 8 / IF OPS: EMS to Sparrow Okemos ER
296	19BTFD Bath Twp Fire Admin
298	19BTPD Bath Twp Police Admin
299	19CAEMS Clinton Area Ambulance Service
300	19COEMS Clinton EMS Dispatch
307	19DTFD DeWitt Twp Fire Admin
309	19DPADM DeWitt Township Admin
310	19DPW Department of Public Works
311	19EFD Elsie Fire Admin
314	DHS Dept. of Homeland Security ENC
315	19FE911 Fire-EMS Dispatch
316	19FG1 Fireground 1
317	19FG2 Fireground 2
318	19FG3 Fireground 3
319	19FG4 Fireground 4
320	19FFD Fowler Fire Department Admin
322	DHS Dept. of Homeland Security ENC
323	19OMFD Ovid Middlebury Fire Admin
324	19OPS1 Fire Operations 1
325	19OPS2 Fire Operations 2
326	19OPS3 Fire Operations 3
328	19PDAMIN Police Admin
330	19LEIN LEIN ENC
331	19PDTAC1 Police TAC 1 ENC
332	19PDTAC2 Police TAC 2 ENC
333	19PDTAC3 Police TAC 3 ENC
334	19RDCOM Road Commission
337	19SHADMIN Sheriff Admin
338	19SOT1 Sheriff Operations Tac 1 ENC
339	19SOT2 Sheriff Operations Tac 2 ENC
340	19CRAAADM Capital Region Airport Authority Administrative ENC
341	19SPEV3 Special Events 3
345	19TRAIN County Training
346	19TRAVEL Statewide Roaming
347	19TRANSIT Clinton Transit
348	19WATR1 Water Tanker 1
349	19WATR2 Water Tanker 2
351	TRIICCMD Tri-County Ingham Command
352	TRIEOPS Tri County EMS Operations
353	TRIFOPS Tri County Fire Operations
354	TRIPOPS Tri County Police Operations
355	TRISTAG Tri County Emergency Staging Operations
357	TRITFC Tri County Traffic Control
358	NCCTWRRC Radio Tower Rescue - Maintenance Statewide
365	65PGALL County All Call Fire Page
366	65PGEMS EMS Paging
367	65PFG01 Station 1 Lupton Fire Page
369	65PGF03 Rose City Fire Page
372	65PFG07 Station 7 Clear Lake Area Fire Page
503	46PG86OD Tecumseh Fire Off-Duty Paging
504	46PGHAZ Countywide Hazmat Team Paging
505	35PGETFD East Tawas Fire Paging
506	35PGEMS EMS Paging
507	35PGETAW East Tawas First Responders Page
508	35PGGTFD Grant Twp. Fire Page
509	35PGF09 Oscoda Twp. Fire Paging
510	65FPG05 South Branch Station 5 Page
511	35PGPLF Plainfield Twp Fire Page
512	35PGTCFD Tawas City Fire Paging
513	35PGTCFR Tawas City First Responders Paging
514	35PGWHM Whittemore Fire Page
527	35PGTCWRDR City Fire Water Rescue/Dive Team Page
535	33CATA1 Capital Area Transportation Authority 1 ENC
537	33CATA2 Capital Area Transportation Authority 2 ENC
541	33CATA3 Capital Area Transportation Authority 3 ENC
547	33CATA4 Capital Area Transportation Authority 4 ENC
573	35USFSPAGE USFS Iosco County Fire Page
579	BAYCONST Construction Crews
587	33RDCOM Road Commission - 911 VHF Patch
588	33ICRD1 Road Commission 1
589	33ICRD2 Road Commission 2
590	33ICRD3 Road Commission 3
591	LINCONNE Line Construction Northeast
592	CERTECH1 Radio Techs 1
594	CERTECH2 Radio Techs 2
602	33MSUPK1 MSU Parking Enforcement 1 ENC
603	33MSUPK2 MSU Parking Enforcement 2
605	19BTHFPG Bath Township Fire Page
612	26EADM Gladwin EMS Private Channel ENC
613	33MSUSEC1 MSU DPPS Facilities Security 1 ENC
614	33MSUSEC2 MSU DPPS Facilities Security 2 ENC
615	MMEMS2 EMS Dispatch Alpena & Sault Dispatch [Future] ENC
621	38SCHOOL Jackson School Buses
636	65F07 Clear Lake Area Fire Authority
665	MEDCOMGL MEDCOMM McLaren Grand Ledge
765	29FEPG07 Alma Fire Rescue and EMS Page
766	29FPG01 Alma Fire Rescue Page
767	29FEPG02 Ashley Fire Rescue and EMS Page
768	29FPG02 Ashley Fire Rescue Page
769	29FEPG03 Breckenridge Fire Rescue and EMS Page
